"bookId","title","series","author","rating","description","language","isbn","genres","characters","bookFormat","edition","pages","publisher","publishDate","firstPublishDate","awards","numRatings","ratingsByStars","likedPercent","setting","coverImg","bbeScore","bbeVotes","price"
"14891.A_Tree_Grows_in_Brooklyn","A Tree Grows in Brooklyn","","Betty Smith","4.27","The beloved American classic about a young girl's coming-of-age at the turn of the century, Betty Smith's A Tree Grows in Brooklyn is a poignant and moving tale filled with compassion and cruelty, laughter and heartache, crowded with life and people and incident. The story of young, sensitive, and idealistic Francie Nolan and her bittersweet formative years in the slums of Williamsburg has enchanted and inspired millions of readers for more than sixty years. By turns overwhelming, sublime, heartbreaking, and uplifting, the daily experiences of the unforgettable Nolans are raw with honesty and tenderly threaded with family connectedness -- in a work of literary art that brilliantly captures a unique time and place as well as incredibly rich moments of universal experience.","English","9780061120077","['Classics', 'Fiction', 'Historical Fiction', 'Young Adult', 'Coming Of Age', 'Historical', 'Literature', 'New York', 'Novels', 'Book Club']","['Francie Nolan', 'Neeley Nolan', 'Katie Nolan', 'Johnny Nolan', 'Mary Rommely', 'Sissy Rommely', 'Eva ""Evy"" Rommely Flittman', 'Thomas Rommely', 'Sergeant McShane']","Paperback","Deckle Page Edition","496","HarperCollins Publishers","05/30/06","08/18/43","['Audie Award for Classic (2002)']","388454","['192536', '128033', '51805', '11410', '4670']","96","['Williamsburg, Brooklyn, New York (United States)', 'New York City, New York (United States)', 'United States of America', 'New York State (United States)']","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327883484l/14891.jpg","309492","3407",5.01
"41817486-a-clockwork-orange","A Clockwork Orange","","Anthony Burgess","3.99","In Anthony Burgess's influential nightmare vision of the future, criminals take over after dark. Teen gang leader Alex narrates in fantastically inventive slang that echoes the violent intensity of youth rebelling against society. Dazzling and transgressive, A Clockwork Orange is a frightening fable about good and evil and the meaning of human freedom. This edition includes the controversial last chapter not published in the first edition, and Burgess’s introduction, “A Clockwork Orange Resucked.”","English","9780393341768","['Classics', 'Fiction', 'Science Fiction', 'Dystopia', 'Literature', 'Novels', 'Horror', 'Thriller', 'Crime', 'Modern Classics']","['Pete', 'Alex Jacobi', 'Georgie', 'Dim']","Paperback","","240","W. W. Norton & Company","05/21/19","10/28/62","['Prometheus Hall of Fame Award (2008)']","601048","['225177', '216256', '108731', '31645', '19239']","92","['England']","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1549260060l/41817486.jpg","302942","3413",13.05
"6288.The_Road","The Road","","Cormac McCarthy","3.97","A searing, postapocalyptic novel destined to become Cormac McCarthy’s masterpiece.A father and his son walk alone through burned America. Nothing moves in the ravaged landscape save the ash on the wind. It is cold enough to crack stones, and when the snow falls it is gray. The sky is dark. Their destination is the coast, although they don’t know what, if anything, awaits them there. They have nothing; just a pistol to defend themselves against the lawless bands that stalk the road, the clothes they are wearing, a cart of scavenged food—and each other.The Road is the profoundly moving story of a journey. It boldly imagines a future in which no hope remains, but in which the father and his son, “each the other’s world entire,” are sustained by love. Awesome in the totality of its vision, it is an unflinching meditation on the worst and the best that we are capable of: ultimate destructiveness, desperate tenacity, and the tenderness that keeps two people alive in the face of total devastation.","English","9780307265432","['Fiction', 'Science Fiction', 'Dystopia', 'Post Apocalyptic', 'Classics', 'Horror', 'Literature', 'Novels', 'Apocalyptic', 'Contemporary']","['The man', 'The boy']","Hardcover","First U.S. Edition","241","Alfred A. Knopf","10/02/06","09/26/06","['Pulitzer Prize for Fiction (2007)', 'Locus Award Nominee for Best SF Novel (2007)', 'James Tait Black Memorial Prize for Fiction (2006)', 'The Quill Award for General Fiction (2007)', 'Puddly Award for Fiction (2010)', 'National Book Critics Circle Award Nominee for Fiction (2006)', 'Believer Book Award (2006)', 'Tähtivaeltaja Award (2009)', 'Cena Akademie SFFH for Kniha roku (Book of the Year) (2008)', 'Prix des libraires du Québec for Lauréats hors Québec (2009)', 'International Dublin Literary Award Nominee (2008)', 'The Rooster -- The Morning News Tournament of Books (2007)']","716197","['271747', '245274', '128293', '45727', '25156']","90","['United States of America']","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1600241424l/6288.jpg","300848","3299",6.83
"4934.The_Brothers_Karamazov","The Brothers Karamazov","The Brothers Karamazov #1-4","Fyodor Dostoyevsky, Fyodor Dostoyevsky, Richard Pevear (Translator), Larissa Volokhonsky (Translator)","4.32","The Brothers Karamazov is a murder mystery, a courtroom drama, and an exploration of erotic rivalry in a series of triangular love affairs involving the “wicked and sentimental” Fyodor Pavlovich Karamazov and his three sons―the impulsive and sensual Dmitri; the coldly rational Ivan; and the healthy, red-cheeked young novice Alyosha. Through the gripping events of their story, Dostoevsky portrays the whole of Russian life, is social and spiritual striving, in what was both the golden age and a tragic turning point in Russian culture.This award-winning translation by Richard Pevear and Larissa Volokhonsky remains true to the verbalinventiveness of Dostoevsky’s prose, preserving the multiple voices, the humor, and the surprising modernity of the original. It is an achievement worthy of Dostoevsky’s last and greatest novel.","English","9780374528379","['Classics', 'Fiction', 'Russia', 'Literature', 'Russian Literature', 'Philosophy', 'Novels', '19th Century', 'Classic Literature', 'Religion']","['Dmitri Fyodorovich Karamazov', 'Ivan Fyodorovich Karamazov', 'Alexei Fyodorovich Karamazov', 'Pavel Smerdyakov', 'Agrafena Alexandrovna Svetlova', 'Katerina Ivanovna Verkhovtseva', 'Fyodor Pavlovich Karamazov', 'Father Zosima, the Elder', 'Ilyusha', 'Nikolai Krassotkin']","Paperback","","796","Farrar, Straus and Giroux","06/14/02","11/18/79","[]","243271","['134077', '68234', '29317', '7980', '3663']","95","['Russia']","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1427728126l/4934.jpg","299610","3312",5.51
"252577.Angela_s_Ashes","Angela's Ashes","Frank McCourt #1","Frank McCourt","4.11","Imbued on every page with Frank McCourt's astounding humor and compassion. This is a glorious book that bears all the marks of a classic.""When I look back on my childhood I wonder how I managed to survive at all. It was, of course, a miserable childhood: the happy childhood is hardly worth your while. Worse than the ordinary miserable childhood is the miserable Irish childhood, and worse yet is the miserable Irish Catholic childhood."" So begins the Pulitzer Prize winning memoir of Frank McCourt, born in Depression-era Brooklyn to recent Irish immigrants and raised in the slums of Limerick, Ireland. Frank's mother, Angela, has no money to feed the children since Frank's father, Malachy, rarely works, and when he does he drinks his wages. Yet Malachy-- exasperating, irresponsible and beguiling-- does nurture in Frank an appetite for the one thing he can provide: a story. Frank lives for his father's tales of Cuchulain, who saved Ireland, and of the Angel on the Seventh Step, who brings his mother babies. Perhaps it is story that accounts for Frank's survival. Wearing rags for diapers, begging a pig's head for Christmas dinner and gathering coal from the roadside to light a fire, Frank endures poverty, near-starvation and the casual cruelty of relatives and neighbors--yet lives to tell his tale with eloquence, exuberance and remarkable forgiveness. Angela's Ashes, imbued on every page with Frank McCourt's astounding humor and compassion, is a glorious book that bears all the marks of a classic.","English","9780007205233","['Nonfiction', 'Memoir', 'Biography', 'Classics', 'Ireland', 'Autobiography', 'Biography Memoir', 'History', 'Irish Literature', 'Historical']","['Frank McCourt']","Paperback","","452","Harper Perennial","10/03/05","09/05/96","['Pulitzer Prize for Biography or Autobiography (1997)', 'American Booksellers Book Of The Year  Award for Adult Trade (1997)', 'Audie Award for Nonfiction, Abridged (1997)', 'Los Angeles Times Book Prize for Biography (1996)', 'Exclusive Books Boeke Prize (1997)', 'National Book Critics Circle Award for Biography/Autobiography (1996)']","539576","['224972', '193782', '88173', '22464', '10185']","94","['Limerick (Ireland)', 'New York State (United States)', 'Ireland']","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348317139l/252577.jpg","290485","3242",2.76
"345627.Vampire_Academy","Vampire Academy","Vampire Academy #1","Richelle Mead (Goodreads Author)","4.12","ONLY A TRUE BEST FRIEND CAN PROTECT YOU FROM YOUR IMMORTAL ENEMIES...Lissa Dragomir is a Moroi princess: a mortal vampire with a rare gift for harnessing the earth's magic. She must be protected at all times from Strigoi; the fiercest vampires - the ones who never die. The powerful blend of human and vampire blood that flows through Rose Hathaway, Lissa's best friend, makes her a dhampir. Rose is dedicated to a dangerous life of protecting Lissa from the Strigoi, who are hell-bent on making Lissa one of them.After two years of freedom, Rose and Lissa are caught and dragged back to St. Vladimir's Academy, a school for vampire royalty and their guardians-to-be, hidden in the deep forests of Montana. But inside the iron gates, life is even more fraught with danger... and the Strigoi are always close by.Rose and Lissa must navigate their dangerous world, confront the temptations of forbidden love, and never once let their guard down, lest the evil undead make Lissa one of them forever...","English","9781595141743","['Young Adult', 'Fantasy', 'Vampires', 'Paranormal', 'Romance', 'Urban Fantasy', 'Fiction', 'Supernatural', 'Paranormal Romance', 'Magic']","['Vasilisa ""Lissa"" Dragomir', 'Dimitri Belikov', 'Christian Ozera', 'Mason Ashford', 'Victor Dashkov', 'Mia Rinaldi', 'Janine Hathaway', 'Natalie Dashkov', 'Edison ""Eddie"" Castile', 'Ellen Kirova', 'Rosemarie ""Rose"" Hathaway', 'Camille Conta', 'Stan Alto', 'Jesse Zeklos', 'Tatiana Ivashkov']","Paperback","","332","Razorbill","08/16/07","","[]","548959","['259257', '155849', '90053', '27768', '16032']","92","['Montana (United States)']","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1361098973l/345627.jpg","277801","2986",3.33
"52036.Siddhartha","Siddhartha","","Hermann Hesse, Hilda Rosner (Translator)","4.03","Herman Hesse's classic novel has delighted, inspired, and influenced generations of readers, writers, and thinkers. In this story of a wealthy Indian Brahmin who casts off a life of privilege to seek spiritual fulfillment. Hesse synthesizes disparate philosophies--Eastern religions, Jungian archetypes, Western individualism--into a unique vision of life as expressed through one man's search for true meaning.","English","9999999999999","['Classics', 'Fiction', 'Philosophy', 'Religion', 'Spirituality', 'Literature', 'Buddhism', 'German Literature', 'Novels', 'Historical Fiction']","['Siddhartha', 'Govinda', 'Gotama', 'Kamala', 'Vasudeva']","Mass Market Paperback","","152","Bantam Books","12/01/81","10/28/22","[]","582674","['234655', '191515', '109865', '33061', '13578']","92","['India']","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1428715580l/52036.jpg","273019","3047",""
"7244.The_Poisonwood_Bible","The Poisonwood Bible","","Barbara Kingsolver","4.06","The Poisonwood Bible is a story told by the wife and four daughters of Nathan Price, a fierce, evangelical Baptist who takes his family and mission to the Belgian Congo in 1959. They carry with them everything they believe they will need from home, but soon find that all of it -- from garden seeds to Scripture -- is calamitously transformed on African soil. What follows is a suspenseful epic of one family's tragic undoing and remarkable reconstruction over the course of three decades in postcolonial Africa.","English","9780060786502","['Fiction', 'Historical Fiction', 'Africa', 'Classics', 'Historical', 'Literary Fiction', 'Literature', 'Novels', 'Religion', 'Adult Fiction']","['Orleanna Price', 'Ruth May Price', 'Rachel Rebeccah Price', 'Leah Price', 'Nathan Price', 'Dr Bud Wharton', 'Adah Price', 'Reverend & Mrs. Underdown']","Hardcover","","546","Harper Perennial Modern Classics","07/05/05","09/24/98","['Pulitzer Prize Nominee for Fiction (1999)', 'Orange Prize Nominee for Fiction Shortlist (1999)', 'Book Sense Book of the Year Award for Adult (2000)', 'PEN/Faulkner Award for Fiction Nominee (1999)', 'Independent Publisher Book Award (IPPY) for Audio Fiction - Unabridged (1999)', 'Exclusive Books Boeke Prize (2000)', 'Puddly Award for Novel (2001)', 'International Dublin Literary Award Nominee (2000)']","658743","['289926', '204614', '104164', '36978', '23061']","91","['Bethlehem, Georgia (United States)', 'Kilanga (Congo)', 'Sanderling Island, Georgia (United States)', 'Leopoldville (Congo)']","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1412242487l/7244.jpg","271161","2977",4.12
"119322.The_Golden_Compass","The Golden Compass","His Dark Materials #1","Philip Pullman","3.99","Lyra is rushing to the cold, far North, where witch clans and armored bears rule. North, where the Gobblers take the children they steal--including her friend Roger. North, where her fearsome uncle Asriel is trying to build a bridge to a parallel world.Can one small girl make a difference in such great and terrible endeavors? This is Lyra: a savage, a schemer, a liar, and as fierce and true a champion as Roger or Asriel could want--but what Lyra doesn't know is that to help one of them will be to betray the other.","English","9780679879244","['Fantasy', 'Young Adult', 'Fiction', 'Childrens', 'Adventure', 'Science Fiction', 'Science Fiction Fantasy', 'Steampunk', 'Middle Grade', 'Audiobook']","['Lyra Belacqua', 'Pantalaimon', 'Lord Asriel', 'Iorek Byrnison', 'Iofur Raknison', 'Marisa Coulter', 'Lee Scoresby', 'Roger Parslow', 'Serafina Pekkala', 'Hester', 'Farder Coram', 'John Faa', 'Billy Costa']","Hardcover","","399","Alfred A. Knopf Books for Young Readers","04/16/96","07/09/95","[""Guardian Children's Fiction Prize (1996)"", ""Audie Award for Children's Titles (2000)"", 'Lincoln Award Nominee (2005)', 'Carnegie Medal (1995)']","1284131","['513058', '406740', '243241', '76112', '44980']","91","['Oxford, England']","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1505766203l/119322._SX318_.jpg","257342","2882",1.61
"3836.Don_Quixote","Don Quixote","","Miguel de Cervantes Saavedra, John Rutherford (Translator), Roberto González Echevarría (Introduction)","3.88","Don Quixote has become so entranced by reading chivalric romances that he determines to become a knight-errant himself. In the company of his faithful squire, Sancho Panza, his exploits blossom in all sorts of wonderful ways. While Quixote's fancy often leads him astray—he tilts at windmills, imagining them to be giants—Sancho acquires cunning and a certain sagacity. Sane madman and wise fool, they roam the world together, and together they have haunted readers' imaginations for nearly four hundred years.With its experimental form and literary playfulness, Don Quixote has been generally recognized as the first modern novel. The book has been enormously influential on a host of writers, from Fielding and Sterne to Flaubert, Dickens, Melville, and Faulkner, who reread it once a year, ""just as some people read the Bible.""","English","9780142437230","['Classics', 'Fiction', 'Literature', 'Spanish Literature', 'Adventure', 'Novels', 'Historical Fiction', 'Spain', 'Humor', 'Classic Literature']","['Sancho Panza', 'Don Quijote de la Mancha']","Paperback","Penguin Classics","1023","Penguin Books","02/25/03","10/28/05","['Will Eisner Comic Industry Awards Nominee for Best Adaptation from Another Medium & Best Humor Publication (2014)', 'Βραβείο Λογοτεχνικής Μετάφρασης ΕΚΕΜΕΛ for Ισπανόφωνη Λογοτεχνία (2010)', 'Premio de traducción literaria Valle Inclán for John Rutherford (2002)']","209688","['72520', '66539', '48749', '15704', '6176']","90","['La Mancha (Spain)', 'Barcelona, Catalonia (Spain)', 'Spain']","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1546112331l/3836._SY475_.jpg","253824","2893",9.04
